lat,lon,satelite,data
 -13.209900, -61.717300,GOES-16,2023-11-11 16:00:00
 -13.210700, -61.639700,GOES-16,2023-11-11 16:00:00
 -13.229500, -61.657800,GOES-16,2023-11-11 16:00:00
 -13.272200, -61.168800,GOES-16,2023-11-11 16:00:00
 -13.272300, -61.149300,GOES-16,2023-11-11 16:00:00
 -13.286300, -61.673400,GOES-16,2023-11-11 16:00:00
 -13.291200, -61.167500,GOES-16,2023-11-11 16:00:00
 -13.291400, -61.148000,GOES-16,2023-11-11 16:00:00
 -13.291500, -61.128500,GOES-16,2023-11-11 16:00:00
 -13.291700, -61.109000,GOES-16,2023-11-11 16:00:00
 -13.305100, -61.691600,GOES-16,2023-11-11 16:00:00
 -13.305300, -61.672100,GOES-16,2023-11-11 16:00:00
 -13.310600, -61.127200,GOES-16,2023-11-11 16:00:00
 -13.310800, -61.107700,GOES-16,2023-11-11 16:00:00
 -13.323800, -61.729100,GOES-16,2023-11-11 16:00:00
 -13.323900, -61.709700,GOES-16,2023-11-11 16:00:00
 -13.324100, -61.690300,GOES-16,2023-11-11 16:00:00
 -13.324300, -61.670900,GOES-16,2023-11-11 16:00:00
 -13.454700, -51.581800,GOES-16,2023-11-11 16:00:00
 -13.341500, -61.863800,GOES-16,2023-11-11 16:00:00
 -13.343000, -61.708400,GOES-16,2023-11-11 16:00:00
 -13.343100, -61.689000,GOES-16,2023-11-11 16:00:00
 -13.343300, -61.669600,GOES-16,2023-11-11 16:00:00
 -13.348200, -61.163500,GOES-16,2023-11-11 16:00:00
 -13.446800, -54.596800,GOES-16,2023-11-11 16:00:00
 -13.399300, -61.782300,GOES-16,2023-11-11 16:00:00
 -13.399500, -61.762900,GOES-16,2023-11-11 16:00:00
 -13.399600, -61.743400,GOES-16,2023-11-11 16:00:00
 -13.399800, -61.724000,GOES-16,2023-11-11 16:00:00
 -13.400000, -61.704600,GOES-16,2023-11-11 16:00:00
 -13.400200, -61.685200,GOES-16,2023-11-11 16:00:00
 -13.400400, -61.665700,GOES-16,2023-11-11 16:00:00
 -13.418300, -61.781000,GOES-16,2023-11-11 16:00:00
 -13.418500, -61.761600,GOES-16,2023-11-11 16:00:00
 -13.418700, -61.742200,GOES-16,2023-11-11 16:00:00
 -13.418800, -61.722700,GOES-16,2023-11-11 16:00:00
 -13.419000, -61.703300,GOES-16,2023-11-11 16:00:00
 -13.419200, -61.683900,GOES-16,2023-11-11 16:00:00
 -13.419400, -61.664400,GOES-16,2023-11-11 16:00:00
 -13.419600, -61.645000,GOES-16,2023-11-11 16:00:00
 -13.420500, -61.547700,GOES-16,2023-11-11 16:00:00
 -13.420700, -61.528300,GOES-16,2023-11-11 16:00:00
 -13.437700, -61.740900,GOES-16,2023-11-11 16:00:00
 -13.437900, -61.721400,GOES-16,2023-11-11 16:00:00
 -13.438100, -61.702000,GOES-16,2023-11-11 16:00:00
